"","X1","title","averageRating","numVotes","genre1","genre2","genre3","runtimeMinutes","titleType","rank","studio","lifetime_gross","year","oscar_year","oscar_win","oscar_nom","actor1","actor2","actor3","actor4","actor5","actor6","actor7","actor8","actor9","actor10"
"1",1,"'71",7.2,46832,"Action","Crime","Drama",99,"movie",7539,"RAtt.",1270847,2015,NA,"No","No","Jack O'Connell","Sean Harris","Sam Reid","Paul Popplewell",NA,NA,NA,NA,NA,NA
"2",2,"'R Xmas",5.8,1200,"Crime","Drama",NA,85,"movie",16452,"Path.",850,2002,NA,"No","No","Lisa Valens","Ice-T","Lillo Brancato","Drea de Matteo",NA,NA,NA,NA,NA,NA
"3",3,"'Round Midnight",7.4,4338,"Drama","Music",NA,133,"movie",6315,"WB",3272593,1986,NA,"No","No","François Cluzet","Gabrielle Haker","Sandra Reaves-Phillips","Dexter Gordon",NA,NA,NA,NA,NA,NA
"4",4,"'Tis Autumn: The Search for Jackie Paris",7.2,59,"Documentary",NA,NA,100,"movie",16345,"OutF",1476,2007,NA,"No","No","Peter Bogdanovich","Harlan Ellison",NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"(500) Days of Summer",7.7,446981,"Comedy","Drama","Romance",95,"movie",2553,"FoxS",32391374,2009,NA,"No","No","Chloë Grace Moretz","Joseph Gordon-Levitt","Zooey Deschanel","Geoffrey Arend",NA,NA,NA,NA,NA,NA
"6",6,"(Untitled)",6.3,2039,"Comedy","Drama","Music",96,"movie",10086,"Gold.",230600,2009,NA,"No","No","Marley Shelton","Lucy Punch","Eion Bailey","Adam Goldberg",NA,NA,NA,NA,NA,NA
"7",7,"$9.99",6.7,3060,"Animation","Drama","Fantasy",78,"movie",12475,"Reg.",52384,2008,NA,"No","No","Geoffrey Rush","Anthony LaPaglia","Barry Otto","Samuel Johnson",NA,NA,NA,NA,NA,NA
"8",8,"10",6.1,14228,"Comedy","Romance",NA,122,"movie",1064,"WB",74865517,1979,NA,"No","No","Bo Derek","Dudley Moore","Julie Andrews","Robert Webber",NA,NA,NA,NA,NA,NA
"9",9,"10 Cloverfield Lane",7.2,266499,"Drama","Horror","Mystery",103,"movie",1108,"Par.",72082998,2016,NA,"No","No","Mary Elizabeth Winstead","John Gallagher Jr.","John Goodman","Douglas M. Griffin",NA,NA,NA,NA,NA,NA
"10",10,"10 Days in a Madhouse",6.7,1136,"Drama",NA,NA,111,"movie",14439,"CafeP",14616,2015,NA,"No","No","Kelly LeBrock","Christopher Lambert","Julia Chantrey","Caroline Barry",NA,NA,NA,NA,NA,NA
"11",11,"10 Items or Less",6.6,13887,"Comedy","Drama",NA,82,"movie",11723,"Think",83291,2006,NA,"No","No","Morgan Freeman","Jonah Hill",NA,NA,NA,NA,NA,NA,NA,NA
"12",14,"10 Things I Hate About You",7.3,274539,"Comedy","Drama","Romance",97,"movie",2206,"BV",38178166,1999,NA,"No","No","Larisa Oleynik","Heath Ledger","Joseph Gordon-Levitt",NA,NA,NA,NA,NA,NA,NA
"13",15,"10 to Midnight",6.3,5964,"Crime","Drama","Thriller",101,"movie",5234,"MGM",7175592,1983,NA,"No","No","Charles Bronson","Gene Davis","Andrew Stevens","Lisa Eilbacher",NA,NA,NA,NA,NA,NA
"14",16,"10 Years",6.1,22745,"Comedy","Drama","Romance",100,"movie",10285,"Anch.",203373,2012,NA,"No","No","Chris Pratt","Rosario Dawson","Jenna Dewan","Channing Tatum",NA,NA,NA,NA,NA,NA
"15",17,"100 Bloody Acres",6,3507,"Comedy","Horror",NA,91,"movie",15465,"DR",6388,2013,NA,"No","No","Anna McGahan","Damon Herriman","Angus Sampson","Oliver Ackland",NA,NA,NA,NA,NA,NA
"16",18,"101 Dalmatians",5.7,94226,"Adventure","Comedy","Crime",103,"movie",386,"Dis.",144880014,1961,NA,"No","No","Glenn Close","Jeff Daniels","Joan Plowright","Joely Richardson",NA,NA,NA,NA,NA,NA
"17",19,"102 Dalmatians",4.9,32445,"Adventure","Comedy","Family",100,"movie",1216,"BV",66957026,2000,NA,"No","No","Alice Evans","Ioan Gruffudd","Glenn Close","Gérard Depardieu",NA,NA,NA,NA,NA,NA
"18",20,"102 Not Out",7.5,5113,"Comedy","Drama",NA,102,"movie",7449,"Sony",1343797,2018,NA,"No","No","Vijay Raaz","Rishi Kapoor","Ashok Pathak","Amitabh Bachchan",NA,NA,NA,NA,NA,NA
"19",21,"10th & Wolf",6.4,5922,"Crime","Drama","Thriller",107,"movie",12388,"Think",54702,2006,NA,"No","No","Brad Renfro","Piper Perabo","Giovanni Ribisi","James Marsden",NA,NA,NA,NA,NA,NA
"20",22,"10x10",5,5664,"Thriller",NA,NA,88,"movie",16205,"VE",2263,2018,NA,"No","No","Luke Evans","Olivia Chenery","Noel Clarke","Kelly Reilly",NA,NA,NA,NA,NA,NA
"21",23,"11-11-11",3.9,11777,"Horror","Mystery","Thriller",90,"movie",13204,"Rocket",32771,2011,NA,"No","No","Michael Landes","Brendan Price","Wendy Glenn","Timothy Gibbs",NA,NA,NA,NA,NA,NA
"22",24,"12",7.7,13311,"Crime","Drama","Thriller",159,"movie",11059,"SPC",125120,2009,NA,"No","No","Sergey Makovetskiy","Nikita Mikhalkov","Sergey Garmash","Apti Magamaev",NA,NA,NA,NA,NA,NA
"23",26,"12 O'Clock Boys",6.4,1229,"Biography","Crime","Documentary",76,"movie",11735,"Osci.",82614,2014,NA,"No","No","Funmi Sodipo","Pug",NA,NA,NA,NA,NA,NA,NA,NA
