"","X1","title","averageRating","numVotes","genre1","genre2","genre3","runtimeMinutes","titleType","rank","studio","lifetime_gross","year","oscar_year","oscar_win","oscar_nom","actor1","actor2","actor3","actor4","actor5","actor6","actor7","actor8","actor9","actor10"
"1",12,"10 Items or Less",6.7,1233,"Comedy",NA,NA,30,"tvSeries",11723,"Think",83291,2006,NA,"No","No","John Lehr","Chris Payne Gilbert","Roberta Valderrama","Kirsten Gronfield","Jennifer Elise Cox","Greg Davis Jr.","Christopher Liam Moore","Bob Clendenin",NA,NA
"2",13,"10 Things I Hate About You",7.3,5403,"Comedy",NA,NA,30,"tvSeries",2206,"BV",38178166,1999,NA,"No","No","Meaghan Martin","Ethan Peck","Nicholas Braun","Larry Miller","Kyle Kaplan","Lindsey Shaw","Ally Maki",NA,NA,NA
"3",25,"12 Monkeys",7.6,36680,"Adventure","Drama","Mystery",42,"tvSeries",1470,"Uni.",57141459,1995,NA,"No","No","Emily Hampshire","Amanda Schull","Noah Bean","Barbara Sukowa","Todd Stashwick","Kirk Acevedo","Aaron Stanford","Andrew Gillies",NA,NA
"4",38,"15 Minutes",7,11,"Comedy","Music","Talk-Show",30,"tvSeries",3100,"NL",24403552,2001,NA,"No","No","Debbie Harry","Peter Kwaloff","Suzie Zabrowska","Eleanor Antin","Downtown Julie Brown","John Epperson",NA,NA,NA,NA
"5",71,"21 Jump Street",7.2,10025,"Crime","Drama","Mystery",60,"tvSeries",423,"Sony",138447667,2012,NA,"No","No","Michael Bendetti","Dustin Nguyen","Peter DeLuise","Holly Robinson Peete","Johnny Depp","Sal Jenco","Richard Grieco",NA,NA,NA
"6",137,"9 to 5",6.3,299,"Comedy",NA,NA,30,"tvSeries",683,"Fox",103290500,1980,NA,"No","No","Rita Moreno","Rachel Dennison","Edward Winter","Valerie Curtin","Jean Marsh","Peter Evans","Sally Struthers","Fred Applegate","Peter Bonerz","Art Evans"
"7",191,"A Fine Romance",7,553,"Comedy","Romance",NA,30,"tvSeries",14278,"Castle",16497,1992,NA,"No","No","Richard Warwick","Karl Howman","George Tovey","Michael Williams","Judi Dench","Susan Penhaligon","Geoffrey Rose",NA,NA,NA
"8",192,"A Fine Romance",8.5,54,"Drama","Romance",NA,60,"tvSeries",14278,"Castle",16497,1992,NA,"No","No","Sanford Jensen","Ernie Sabella","Susan Wooldridge",NA,NA,NA,NA,NA,NA,NA
"9",230,"A League of Their Own",7.9,1138,"Comedy","Game-Show","Sport",45,"tvSeries",645,"Sony",107533928,1992,NA,"No","No","Jack Whitehall",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",231,"A League of Their Own",5.8,86,"Comedy","Sport",NA,30,"tvSeries",645,"Sony",107533928,1992,NA,"No","No","Tracy Reiner","Tracy Nelson","Wendy Makkena","Katie Rich","Carey Lowell","Sam McMurray","Christine Elise",NA,NA,NA
